;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
000630;;BROCA ACO RAPIDO 3/16;;;;;;;;;;;;27;;8,33;;
000631;;BROCA ACO RAPIDO 7/32;;;;;;;;;;;;31;;10,89;;
000637;;SERRA COPO 35MM STARFER;;;;;;;;;;;;10;;28,89;;
000640;;CALCEIRO EXTENSIVEL;;;;;;;;;;;;8;;186,67;;
000643;;PUXADOR CONCHA 064;;;;;;;;;;;;76;;9,45;;
000648;;PARAFUSO DE UNIÃO;;;;;;;;;;;;0;;0,50;;
000649;;SUPORTE TAMPO RETRATIL 400MM;;;;;;;;;;;;16;;111,12;;
000650;;BROCA ACO RAPIDO 3/8;;;;;;;;;;;;30;;30,00;;
000652;;PORTA CEDULA;;;;;;;;;;;;7;;38,89;;
000653;;DIVISOR PARA TALHER;;;;;;;;;;;;14;;44,22;;
000657;;LIXA PAPEL 30CM P50;;;;;;;;;;;;111;;33,33;;
000658;;CORREDICA 350MM PISTÃO;;;;;;;;;;;;171;;44,45;;
000659;;CORREDICA 450MM PISTÃO;;;;;;;;;;;;516;;55,56;;
000670;;RODIZIO SILICONE 50MM ENCAIXE S/TV;;;;;;;;;;;;241;;15,00;;
000671;;RODIZIO SILICONE 50MM ENCAIXE C/TV;;;;;;;;;;;;154;;16,67;;
000674;;FORMICA PRETO TEXTURA - L121;;;;;;;;;;;;1;;288,89;;
000675;;FORMICA PRETO BRILHO - L121;;;;;;;;;;;;16;;166,67;;
000676;;PVC AMARELO GIRASSOL TX;;;;;;;;;;;;25;;83,33;;
000677;;PVC AREIA TX;;;;;;;;;;;;0;;83,33;;
000678;;PVC AZUL COBALTO TX;;;;;;;;;;;;31;;83,33;;
000679;;PVC AZUL NEON TX;;;;;;;;;;;;3;;83,33;;
000680;;PVC BRANCO BRILHO;;;;;;;;;;;;27;;66,11;;
000681;;PVC BRANCO TX;;;;;;;;;;;;287;;61,11;;
000682;;PVC CINZA CLARO;;;;;;;;;;;;0;;83,33;;
000683;;PVC CINZA MEDIO TX;;;;;;;;;;;;26;;83,33;;
000684;;PVC OVO TX;;;;;;;;;;;;-2;;83,33;;
000685;;PVC PINK TX;;;;;;;;;;;;11;;83,33;;
000686;;PVC PRETO TX;;;;;;;;;;;;87;;61,11;;
000687;;PVC VERDE BANDEIRA TX;;;;;;;;;;;;15;;83,33;;
000688;;PVC VERMELHO CARDEAL TX;;;;;;;;;;;;29;;83,33;;
000695;;FITA BORDA MALBEC CASSIS 19MM;;;;;;;;;;;;49;;11,11;;
000696;;FITA BORDA MALBEC CASSIS 35MM;;;;;;;;;;;;69;;22,22;;
000697;;FITA BORDA MALBEC CASSIS 64MM;;;;;;;;;;;;15;;33,33;;
000698;;FITA BORDA CARVALHO INDIANO 19MM;;;;;;;;;;;;37;;11,11;;
000700;;FITA BORDA CARVALHO INDIANO 64MM;;;;;;;;;;;;42;;33,33;;
000704;;TRILHO D-25 3MT PRETO;;;;;;;;;;;;56;;13,89;;
000705;;CAPA P/SUPORTE L FIXA CINZA;;;;;;;;;;;;262;;0,39;;
000707;;TAPA FURO ESPRESSO;;;;;;;;;;;;55;;4,45;;
000711;;TRENA 3M STARRETT;;;;;;;;;;;;86;;16,11;;
000712;;TRENA 5M STARRETT;;;;;;;;;;;;159;;30,00;;
000713;;TRENA 8M STARRETT;;;;;;;;;;;;35;;46,11;;
000714;;LIMA CHATA COM CABO STARRETT;;;;;;;;;;;;21;;27,78;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
